month,order_date,order_num,quantity,order_status,sup_name,reseller_state,gst_amount,end_customer_state,gst_rate,meesho_price,net_commission,commission_gst,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,tcs_taxable_amount,end_customer_state_new,financial_year,supplier_id,AMT
null,10/21/2024,799746,1,Cancelled,Streets Shopping,Tamil Nadu,0,Tamil Nadu,5,0,0,0,0,0,-15.23809524,-2.742857143,0,TAMIL NADU,2025,1014070,0
null,10/21/2024,798882,1,Cancelled,Streets Shopping,Maharashtra,0,Maharashtra,5,0,0,0,0,0,-17.14285714,-3.085714286,0,MAHARASHTRA,2025,1014070,0
null,9/21/2024,690654,1,Cancelled,Streets Shopping,Rajasthan,0,Rajasthan,5,0,0,0,0,0,-11.42857143,-2.057142857,0,RAJASTHAN,2025,1014070,0
2/1/2025,2/16/2025,122655,1,Return,Streets Shopping,Karnataka,15.0952381,Karnataka,5,317,0,0,0,1.05,57.14285714,10.28571429,301.9047619,KARNATAKA,2025,1014070,301.9047619
2/1/2025,2/3/2025,118020,1,Delivered,Streets Shopping,Odisha,15,Odisha,5,315,0,0,0,1.05,55.23809524,9.942857143,300,ODISHA,2025,1014070,300
null,9/3/2024,622893,1,Cancelled,Streets Shopping,Maharashtra,0,Maharashtra,5,0,0,0,0,0,-1.904761905,-0.342857143,0,MAHARASHTRA,2025,1014070,0
2/1/2025,2/17/2025,123046,1,Shipped,Streets Shopping,Gujarat,11.66666667,Gujarat,5,245,0,0,0,1.05,55.23809524,9.942857143,233.3333333,JAMMU AND KASHMIR,2025,1014070,233.3333333
null,10/30/2024,830089,1,Ordered,Streets Shopping,Uttar Pradesh,0,Uttar Pradesh,5,0,0,0,0,0,-17.14285714,-3.085714286,0,UTTAR PRADESH,2025,1014070,0
2/1/2025,2/17/2025,122943,1,Delivered,Streets Shopping,Odisha,16.38095238,Odisha,5,344,0,0,0,1.05,55.23809524,9.942857143,327.6190476,ODISHA,2025,1014070,327.6190476
2/1/2025,2/5/2025,118765,1,Exchange,Streets Shopping,Rajasthan,11.33333333,Rajasthan,5,238,0,0,0,1.05,34.28571429,6.171428571,205.7142857,RAJASTHAN,2025,1014070,205.7142857
2/1/2025,2/18/2025,123268,1,Return,Streets Shopping,Madhya Pradesh,11.9047619,Madhya Pradesh,5,250,0,0,0,1.05,60,10.8,238.0952381,MADHYA PRADESH,2025,1014070,238.0952381
2/1/2025,2/8/2025,119703,1,Delivered,Streets Shopping,Maharashtra,23.71428571,Maharashtra,5,498,0,0,0,1.05,77.14285714,13.88571429,471.4285714,MAHARASHTRA,2025,1014070,471.4285714
null,10/5/2024,741641,1,Cancelled,Streets Shopping,Delhi,0,Delhi,5,0,0,0,0,0,-17.14285714,-3.085714286,0,DELHI,2025,1014070,0
2/1/2025,2/3/2025,117894,1,Return,Streets Shopping,Rajasthan,11.76190476,Rajasthan,5,247,0,0,0,1.05,45.71428571,8.228571429,225.7142857,GUJARAT,2025,1014070,225.7142857
null,2/20/2025,124205,1,Cancelled,Streets Shopping,Karnataka,11.9047619,Karnataka,5,250,0,0,0,1.05,43.80952381,7.885714286,221.9047619,KARNATAKA,2025,1014070,221.9047619
null,2/2/2025,117476,1,Cancelled,Streets Shopping,Madhya Pradesh,10.28571429,Madhya Pradesh,5,216,0,0,0,1.05,55.23809524,9.942857143,205.7142857,MADHYA PRADESH,2025,1014070,205.7142857
null,9/9/2024,646214,1,Cancelled,Streets Shopping,Rajasthan,0,Rajasthan,5,0,0,0,0,0,-8.571428571,-1.542857143,0,RAJASTHAN,2025,1014070,0
2/1/2025,2/21/2025,124435,1,Delivered,Streets Shopping,Chhattisgarh,11.71428571,Chhattisgarh,5,246,0,0,0,1.05,58.0952381,10.45714286,234.2857143,CHHATTISGARH,2025,1014070,234.2857143
2/1/2025,2/2/2025,117345,1,Exchange,Streets Shopping,Uttar Pradesh,10.47619048,Uttar Pradesh,5,220,0,0,0,1.05,34.28571429,6.171428571,188.5714286,UTTAR PRADESH,2025,1014070,188.5714286
null,11/19/2024,903266,1,Cancelled,Streets Shopping,Kerala,0,Kerala,5,0,0,0,0,0,-17.14285714,-3.085714286,0,KERALA,2025,1014070,0
2/1/2025,2/2/2025,117505,1,Delivered,Streets Shopping,Jharkhand,11.0952381,Jharkhand,5,233,0,0,0,1.05,38.0952381,6.857142857,204.7619048,JHARKHAND,2025,1014070,204.7619048
2/1/2025,2/3/2025,117951,1,Delivered,Streets Shopping,Haryana,11.42857143,Haryana,5,240,0,0,0,1.05,33.33333333,6,206.6666667,HARYANA,2025,1014070,206.6666667
2/1/2025,2/6/2025,119019,1,Delivered,Streets Shopping,Delhi,11.76190476,Delhi,5,247,0,0,0,1.05,44.76190476,8.057142857,224.7619048,DELHI,2025,1014070,224.7619048
2/1/2025,2/11/2025,120899,1,Delivered,Streets Shopping,Maharashtra,12.38095238,Maharashtra,5,260,0,0,0,1.05,55.23809524,9.942857143,247.6190476,MAHARASHTRA,2025,1014070,247.6190476
2/1/2025,2/10/2025,120508,1,Delivered,Streets Shopping,Maharashtra,11.76190476,Maharashtra,5,247,0,0,0,1.05,38.0952381,6.857142857,218.0952381,MAHARASHTRA,2025,1014070,218.0952381
null,9/15/2024,667837,1,Cancelled,Streets Shopping,Chhattisgarh,0,Chhattisgarh,5,0,0,0,0,0,-8.571428571,-1.542857143,0,CHHATTISGARH,2025,1014070,0
2/1/2025,2/16/2025,122677,1,rto,Streets Shopping,Gujarat,11.9047619,Gujarat,5,250,0,0,0,1.05,60,10.8,238.0952381,GUJARAT,2025,1014070,238.0952381
null,2/16/2025,122685,1,Cancelled,Streets Shopping,Maharashtra,11.9047619,Maharashtra,5,250,0,0,0,1.05,60,10.8,238.0952381,MAHARASHTRA,2025,1014070,238.0952381
null,10/22/2024,803540,1,Cancelled,Streets Shopping,Uttar Pradesh,0,Uttar Pradesh,5,0,0,0,0,0,-8.571428571,-1.542857143,0,UTTAR PRADESH,2025,1014070,0
2/1/2025,2/14/2025,121926,1,Delivered,Streets Shopping,Chhattisgarh,23.57142857,Chhattisgarh,5,495,0,0,0,1.05,77.14285714,13.88571429,471.4285714,CHHATTISGARH,2025,1014070,471.4285714
2/1/2025,2/8/2025,119737,1,rto,Streets Shopping,Tamil Nadu,16.38095238,Tamil Nadu,5,344,0,0,0,1.05,55.23809524,9.942857143,327.6190476,TAMIL NADU,2025,1014070,327.6190476
null,2/7/2025,119311,1,Cancelled,Streets Shopping,Assam,17,Assam,5,357,0,0,0,1.05,67.61904762,12.17142857,340,KARNATAKA,2025,1014070,340
2/1/2025,2/22/2025,124715,1,Delivered,Streets Shopping,West Bengal,18.47619048,West Bengal,5,388,0,0,0,1.05,37.14285714,6.685714286,350.4761905,WEST BENGAL,2025,1014070,350.4761905
2/1/2025,2/19/2025,123816,1,Delivered,Streets Shopping,Karnataka,11.76190476,Karnataka,5,247,0,0,0,1.05,40.95238095,7.371428571,219.047619,ODISHA,2025,1014070,219.047619
2/1/2025,2/7/2025,119316,1,Delivered,Streets Shopping,Assam,17,Assam,5,357,0,0,0,1.05,67.61904762,12.17142857,340,KARNATAKA,2025,1014070,340
null,10/27/2024,820534,1,Cancelled,Streets Shopping,Maharashtra,0,Maharashtra,5,0,0,0,0,0,-0.952380952,-0.171428571,0,MAHARASHTRA,2025,1014070,0
